,category,how_many_influencer,words,words_count
0,food,100,,100
0,,,오늘,99
0,,,더,98
0,,,맛,97
0,,,나,96
0,,,집,95
0,,,비,95
0,,,스타,94
0,,,때,93
0,,,맛집,91
0,,,선물,91
0,,,중,91
0,,,날,91
0,,,그램,90
0,,,하나,90
0,,,개,90
0,,,카페,89
0,,,수,89
0,,,후,89
0,,,내,89
0,,,이,89
0,,,전,88
0,,,요즘,88
0,,,물,88
0,,,곳,87
0,,,우리,87
0,,,하루,87
0,,,사랑,87
0,,,꼭,87
0,,,이번,87
0,,,여름,86
0,,,시작,86
0,,,것,86
0,,,시간,85
0,,,주말,85
0,,,사진,85
0,,,생각,85
0,,,추천,84
0,,,일,84
0,,,아침,84
0,,,도,84
0,,,준비,84
0,,,한번,84
0,,,거,84
0,,,해,83
0,,,보고,83
0,,,커피,82
0,,,살,82
0,,,친구,82
0,,,이제,82
0,,,말,82
0,,,안,82
0,,,가지,82
0,,,분,82
0,,,달,82
0,,,지금,82
0,,,등,81
0,,,또,81
0,,,위,81
0,,,여행,80
0,,,밥,80
0,,,역시,80
0,,,알,80
0,,,바로,80
0,,,좀,80
0,,,요리,79
0,,,최고,79
0,,,번,79
0,,,제,79
0,,,요,79
0,,,메뉴,78
0,,,저녁,78
0,,,앞,78
0,,,데,78
0,,,그,78
0,,,음식,77
0,,,눈,77
0,,,사람,77
0,,,기분,77
0,,,매일,77
0,,,날씨,77
0,,,로,77
0,,,아이,76
0,,,정말,76
0,,,배,76
0,,,인,76
0,,,이벤트,76
0,,,줄,76
0,,,가족,75
0,,,점,75
0,,,몸,75
0,,,다시,75
0,,,이상,75
0,,,맘,75
0,,,저,75
0,,,때문,75
0,,,엄마,74
0,,,고기,74
0,,,제품,74
0,,,직접,74
0,,,사용,74
0,,,진짜,74
0,,,느낌,74
0,,,속,73
0,,,일상,73
0,,,감,73
0,,,모두,73
0,,,크림,72
0,,,손,72
0,,,밤,72
0,,,필수,72
0,,,만,72
0,,,차,72
0,,,너,72
0,,,방법,72
0,,,끝,72
0,,,향,71
0,,,시,71
0,,,볼,71
0,,,정도,71
0,,,완전,71
0,,,처음,71
0,,,치즈,70
0,,,서울,70
0,,,입,70
0,,,세상,70
0,,,먹기,70
0,,,위해,70
0,,,핫,69
0,,,라면,69
0,,,인생,69
0,,,인스타,69
0,,,뭐,69
0,,,왜,69
0,,,마지막,68
0,,,산,68
0,,,맥주,68
0,,,언제,68
0,,,벌써,68
0,,,먹방,67
0,,,주문,67
0,,,다이어트,67
0,,,세트,67
0,,,구매,67
0,,,함,67
0,,,휴가,67
0,,,치킨,66
0,,,데이트,66
0,,,가격,66
0,,,추가,66
0,,,템,66
0,,,진행,66
0,,,티,66
0,,,그냥,66
0,,,주,66
0,,,간식,65
0,,,용,65
0,,,온,65
0,,,자연,65
0,,,관리,65
0,,,어디,65
0,,,마음,65
0,,,방,65
0,,,가능,64
0,,,건강,64
0,,,선택,64
0,,,를,64
0,,,걱정,64
0,,,듯,64
0,,,글,64
0,,,빵,63
0,,,거리,63
0,,,홈,63
0,,,오픈,63
0,,,재미,63
0,,,고민,63
0,,,기간,63
0,,,분위기,62
0,,,다른,62
0,,,내일,62
0,,,스,62
0,,,봄,62
0,,,점심,61
0,,,포장,61
0,,,가득,61
0,,,게,61
0,,,모든,61
0,,,동안,61
0,,,다음,61
0,,,미리,61
0,,,코스,61
0,,,여자,61
0,,,걸,61
0,,,식사,60
0,,,길,60
0,,,할인,60
0,,,꽃,60
0,,,명,60
0,,,가장,60
0,,,얼굴,60
0,,,피부,60
0,,,한잔,60
0,,,이름,60
0,,,여기,60
0,,,끼,59
0,,,꿀,59
0,,,제대로,59
0,,,계속,59
0,,,파스타,59
0,,,팩,59
0,,,영상,59
0,,,참여,59
0,,,머리,59
0,,,파티,59
0,,,맛스타,58
0,,,디저트,58
0,,,통,58
0,,,인테리어,58
0,,,힐링,58
0,,,보기,58
0,,,통해,58
0,,,무,58
0,,,장,58
0,,,제일,58
0,,,샐러드,57
0,,,가성,57
0,,,대박,57
0,,,제공,57
0,,,행사,57
0,,,난,57
0,,,재료,57
0,,,못,57
0,,,만들기,57
0,,,마,57
0,,,확인,57
0,,,닭,56
0,,,방문,56
0,,,짐,56
0,,,출시,56
0,,,더욱,56
0,,,및,56
0,,,판매,56
0,,,바다,56
0,,,우유,56
0,,,의,56
0,,,리,56
0,,,은,56
0,,,덕분,56
0,,,어제,56
0,,,소스,55
0,,,무료,55
0,,,신상,55
0,,,미니,55
0,,,운동,55
0,,,오후,55
0,,,스테이크,55
0,,,일리,55
0,,,옷,55
0,,,푸드,55
0,,,후기,55
0,,,건,55
0,,,피,55
0,,,자주,54
0,,,매장,54
0,,,얼,54
0,,,취향,54
0,,,이용,54
0,,,기념,54
0,,,추억,54
0,,,풀,54
0,,,인스타그램,54
0,,,남자,54
0,,,조금,54
0,,,체험,54
0,,,첫,54
0,,,혼자,54
0,,,생,53
0,,,불,53
0,,,사실,53
0,,,조합,53
0,,,땐,53
0,,,스트레스,53
0,,,목,53
0,,,마무리,53
0,,,효과,53
0,,,층,53
0,,,완료,53
0,,,술,53
0,,,나들이,52
0,,,과일,52
