,category,how_many_influencer,words,words_count
0,travel,100,더,100
0,,,,100
0,,,여행,99
0,,,때,99
0,,,나,99
0,,,날,99
0,,,스타,98
0,,,오늘,98
0,,,내,98
0,,,추천,97
0,,,여름,97
0,,,시간,97
0,,,그램,96
0,,,집,96
0,,,수,95
0,,,위,94
0,,,맛,94
0,,,또,94
0,,,바로,94
0,,,맛집,93
0,,,사진,93
0,,,것,93
0,,,하나,93
0,,,후,93
0,,,비,93
0,,,이,92
0,,,날씨,92
0,,,시작,92
0,,,카페,92
0,,,이번,92
0,,,선물,92
0,,,우리,92
0,,,곳,91
0,,,지금,91
0,,,사람,91
0,,,하루,91
0,,,중,90
0,,,보고,90
0,,,일상,90
0,,,해,89
0,,,사랑,89
0,,,도,89
0,,,진짜,89
0,,,꼭,88
0,,,역시,88
0,,,정말,88
0,,,처음,88
0,,,아침,88
0,,,말,87
0,,,전,87
0,,,최고,87
0,,,일,87
0,,,물,87
0,,,살,87
0,,,주말,87
0,,,요,86
0,,,번,86
0,,,이제,86
0,,,거,86
0,,,개,86
0,,,데,86
0,,,한번,86
0,,,요즘,86
0,,,커피,86
0,,,만,85
0,,,느낌,85
0,,,끝,85
0,,,다시,84
0,,,생각,84
0,,,인생,84
0,,,알,84
0,,,안,84
0,,,그,84
0,,,가지,84
0,,,앞,84
0,,,눈,84
0,,,마음,83
0,,,저녁,83
0,,,아이,83
0,,,친구,83
0,,,가격,83
0,,,준비,82
0,,,로,82
0,,,기분,82
0,,,이벤트,81
0,,,다음,81
0,,,밤,81
0,,,사용,81
0,,,좀,81
0,,,저,80
0,,,볼,80
0,,,제품,80
0,,,매일,80
0,,,몸,80
0,,,차,80
0,,,등,79
0,,,줄,79
0,,,모두,79
0,,,제,79
0,,,힐링,79
0,,,가족,79
0,,,여기,79
0,,,달,79
0,,,분위기,78
0,,,어디,78
0,,,걱정,78
0,,,음식,78
0,,,손,77
0,,,마지막,77
0,,,향,77
0,,,티,77
0,,,인,77
0,,,위해,77
0,,,뷰,77
0,,,휴가,76
0,,,체험,76
0,,,걸,76
0,,,고민,76
0,,,왜,76
0,,,정도,76
0,,,속,76
0,,,밥,76
0,,,점,75
0,,,템,75
0,,,구매,75
0,,,완전,74
0,,,바다,74
0,,,입,74
0,,,뭐,74
0,,,세상,74
0,,,동안,74
0,,,일리,74
0,,,필수,73
0,,,보기,73
0,,,맘,73
0,,,바,73
0,,,핫,73
0,,,서울,73
0,,,코스,72
0,,,직접,72
0,,,옷,72
0,,,명,72
0,,,감,72
0,,,꽃,72
0,,,방,72
0,,,분,71
0,,,용,71
0,,,맥주,71
0,,,엄마,71
0,,,데이트,71
0,,,봄,71
0,,,머리,71
0,,,가장,70
0,,,다른,70
0,,,길,70
0,,,언제,70
0,,,단,70
0,,,그냥,70
0,,,기,70
0,,,배,70
0,,,너,70
0,,,운동,70
0,,,투어,69
0,,,덕분,69
0,,,온,69
0,,,움,69
0,,,한국,69
0,,,이상,69
0,,,인스타,69
0,,,주문,69
0,,,혼자,69
0,,,요리,69
0,,,다이어트,69
0,,,관리,69
0,,,영상,68
0,,,때문,68
0,,,가득,68
0,,,메뉴,68
0,,,국내,68
0,,,쇼핑,68
0,,,무,68
0,,,선,68
0,,,끼,68
0,,,건강,68
0,,,피부,68
0,,,얼굴,68
0,,,먹방,68
0,,,시,67
0,,,자연,67
0,,,라면,67
0,,,할인,67
0,,,선택,67
0,,,내일,67
0,,,인테리어,67
0,,,건,67
0,,,여자,67
0,,,자주,67
0,,,호텔,66
0,,,를,66
0,,,은,66
0,,,첫,66
0,,,의,65
0,,,방법,65
0,,,듯,65
0,,,벌써,65
0,,,디자인,65
0,,,주,65
0,,,제공,65
0,,,샷,65
0,,,효과,65
0,,,순간,65
0,,,무엇,64
0,,,계속,64
0,,,나들이,64
0,,,스,64
0,,,조금,64
0,,,사실,63
0,,,풀,63
0,,,확인,63
0,,,홈,63
0,,,간식,63
0,,,제일,63
0,,,크림,63
0,,,식사,63
0,,,케어,63
0,,,오픈,63
0,,,세트,63
0,,,완료,63
0,,,제대로,62
0,,,함,62
0,,,모습,62
0,,,기능,62
0,,,못,62
0,,,후기,62
0,,,미리,62
0,,,참여,62
0,,,난,62
0,,,통해,61
0,,,어제,61
0,,,게,61
0,,,진행,61
0,,,하니,61
0,,,방문,61
0,,,행사,61
0,,,꿀,61
0,,,먹기,61
0,,,책,61
0,,,거리,60
0,,,가면,60
0,,,도착,60
0,,,박,60
0,,,피,60
0,,,층,60
0,,,한잔,60
0,,,뒤,60
0,,,매력,59
0,,,이유,59
0,,,도전,59
0,,,타임,59
0,,,땐,59
0,,,재미,59
0,,,글,59
0,,,뷰티,59
0,,,마무리,59
0,,,대박,59
0,,,해도,59
0,,,여유,59
0,,,트,58
0,,,핑크,58
0,,,기대,58
0,,,예정,58
0,,,산,58
0,,,디저트,58
0,,,발,58
0,,,이건,58
0,,,가야,58
0,,,행복,58
0,,,통,58
0,,,아주,58
0,,,감성,58
0,,,하늘,58
0,,,가방,57
0,,,리,57
0,,,기념,57
0,,,쉬,57
0,,,더욱,57
0,,,아기,57
0,,,이야기,57
0,,,미니,57
0,,,추억,57
0,,,겨울,57
0,,,화장품,57
0,,,치킨,57
0,,,판매,57
0,,,빵,57
0,,,가능,57
0,,,다리,57
0,,,프로,57
0,,,안심,57
0,,,타고,56
0,,,이름,56
0,,,장,56
0,,,공원,56
0,,,술,56
0,,,컬러,56
0,,,고기,56
0,,,옆,56
0,,,무료,56
0,,,브랜드,56
0,,,유,56
0,,,바람,56
0,,,세계,55
0,,,짐,55
0,,,남자,55
0,,,둘,55
0,,,힘,55
0,,,소리,55
0,,,보,55
0,,,젠,55
0,,,올해,55
0,,,생,55
0,,,정리,55
0,,,인스타그램,55
0,,,기억,55
0,,,및,55
0,,,성분,55
0,,,팩,55
0,,,디,55
0,,,스트레스,55
0,,,기회,55
0,,,대신,55
0,,,롯데,55
0,,,촬영,54
0,,,예약,54
0,,,도움,54
0,,,임,54
0,,,모든,54
0,,,제주,54
0,,,패키지,54
0,,,득템,54
0,,,가성,54
0,,,애,54
0,,,여성,54
0,,,헤어,54
0,,,영화,54
0,,,스타일,54
0,,,발견,54
0,,,공간,54
0,,,준,54
0,,,기본,54
0,,,패션,53
0,,,감동,53
0,,,참고,53
0,,,음료,53
0,,,목,53
0,,,노,53
0,,,급,53
0,,,법,53
0,,,굿,53
0,,,징,53
0,,,취향,53
0,,,커플,53
0,,,생활,53
0,,,점심,53
0,,,과,52
0,,,프리미엄,52
0,,,늘,52
0,,,진정,52
0,,,땀,52
0,,,젤,52
0,,,추가,52
0,,,종일,52
0,,,화이트,52
0,,,치즈,52
0,,,자극,52
0,,,보습,52
0,,,장소,52
0,,,자꾸,52
0,,,구경,52
0,,,자리,52
0,,,일본,51
0,,,두,51
0,,,코,51
0,,,이용,51
0,,,뿐,51
0,,,누구,51
0,,,천연,51
0,,,아빠,51
0,,,남,51
0,,,구성,51
0,,,입맛,51
0,,,제거,51
0,,,조절,51
0,,,정,51
0,,,만들기,51
0,,,조합,51
0,,,곧,51
0,,,부담,51
0,,,그대로,51
0,,,물놀이,50
0,,,해결,50
0,,,성공,50
0,,,간,50
0,,,오후,50
0,,,기간,50
0,,,박스,50
0,,,충전,50
0,,,빛,50
0,,,육아,50
0,,,블랙,50
0,,,소통,50
0,,,인증,50
0,,,오,50
0,,,라인,50
0,,,지원,50
0,,,중이,50
0,,,우유,50
0,,,미세먼지,50
0,,,매장,50
0,,,끈,50
0,,,마스크,50
0,,,가기,50
0,,,드,50
0,,,기도,50
0,,,마사지,49
0,,,서비스,49
0,,,평소,49
0,,,활동,49
0,,,제주도,49
0,,,과일,49
0,,,맛스타,49
0,,,신상,49
0,,,인기,49
0,,,새벽,49
0,,,파스타,49
0,,,축제,49
0,,,돈,49
0,,,초,49
0,,,수분,49
0,,,포,49
0,,,키,49
0,,,고생,49
0,,,정보,49
0,,,언니,49
0,,,달달,49
0,,,앤,48
0,,,먼저,48
0,,,파티,48
0,,,배송,48
0,,,자고,48
0,,,애정,48
0,,,리뷰,48
0,,,일주일,48
0,,,완성,48
0,,,그린,48
0,,,블루,48
0,,,셀카,48
0,,,워터,47
0,,,잔,47
0,,,공유,47
0,,,활용,47
0,,,그림,47
0,,,내내,47
0,,,포인트,47
0,,,위치,47
0,,,작성,47
0,,,수영장,47
0,,,개월,47
0,,,처,47
0,,,모임,47
0,,,계획,47
0,,,종,47
0,,,스토어,47
0,,,포장,47
0,,,진,47
0,,,인정,47
0,,,바디,47
0,,,얼마나,47
0,,,막,47
0,,,링크,46
0,,,마리,46
0,,,만날,46
0,,,공기,46
0,,,집중,46
0,,,자기,46
0,,,트리,46
0,,,데이,46
0,,,각,46
0,,,사이즈,46
0,,,달라,46
0,,,비타민,46
0,,,오일,46
0,,,샐러드,46
0,,,유지,46
0,,,별로,46
0,,,항상,46
0,,,레이스,46
0,,,푸드,46
0,,,아이템,45
0,,,카메라,45
0,,,세,45
0,,,모델,45
0,,,댓글,45
0,,,상품,45
0,,,함유,45
0,,,증정,45
0,,,포토,45
0,,,재료,45
0,,,숙소,44
0,,,호,44
0,,,구입,44
0,,,약,44
0,,,소스,44
0,,,어린이,44
0,,,셀프,44
0,,,고고,44
0,,,당첨,44
0,,,얼,44
0,,,강,44
0,,,관심,44
0,,,살이,44
0,,,강추,44
0,,,노래,44
0,,,주방,44
0,,,개선,44
0,,,공식,44
0,,,경험,44
0,,,존,44
0,,,근처,44
0,,,개인,44
0,,,울,44
0,,,계절,44
0,,,냄새,44
0,,,마,43
0,,,산책,43
0,,,카드,43
0,,,실내,43
0,,,오전,43
0,,,딸기,43
0,,,고급,43
0,,,무조건,43
0,,,식품,43
0,,,팅,43
0,,,영양,43
0,,,터,43
0,,,얼마,43
0,,,협찬,43
0,,,메,43
0,,,면,43
0,,,앱,43
0,,,용량,43
0,,,물이,43
0,,,필요,43
0,,,밀크,43
0,,,신제품,43
0,,,살짝,43
0,,,워,43
0,,,아래,42
0,,,음,42
0,,,거기,42
0,,,내용,42
0,,,와인,42
0,,,등등,42
0,,,식당,42
0,,,제작,42
0,,,카,42
0,,,레드,42
0,,,결혼,42
0,,,투,42
0,,,담,42
0,,,검색,42
0,,,총,42
0,,,낮,42
0,,,마켓,42
0,,,일단,42
0,,,단계,42
0,,,최대,42
0,,,메이크업,42
0,,,화장,42
0,,,출시,42
0,,,쏙,42
0,,,품,42
0,,,푹,42
0,,,휴대,42
0,,,월요일,42
0,,,아이스크림,42
0,,,유기농,42
0,,,소개,42
0,,,신경,42
0,,,병,42
0,,,종류,42
0,,,센터,42
0,,,일정,41
0,,,외,41
0,,,클래스,41
0,,,하우스,41
0,,,사이,41
0,,,표현,41
0,,,생일,41
0,,,플러스,41
0,,,구,41
0,,,라이트,41
0,,,스킨,41
0,,,커버,41
0,,,피로,41
0,,,나이,41
0,,,편의점,41
0,,,이드,41
0,,,사,41
0,,,편,41
0,,,비밀,41
0,,,링,41
0,,,청소,41
0,,,일요일,41
0,,,새우,41
0,,,주부,41
0,,,야식,41
0,,,에어,40
0,,,비치,40
0,,,혜택,40
0,,,현재,40
0,,,회,40
0,,,컨디션,40
0,,,원래,40
0,,,대표,40
0,,,프리,40
0,,,센스,40
0,,,주변,40
0,,,선크림,40
0,,,에센스,40
0,,,피부관리,40
0,,,안주,40
0,,,신청,40
0,,,친환경,40
0,,,명품,40
0,,,니,40
0,,,지속,40
0,,,용품,40
0,,,시즌,40
0,,,강남,40
0,,,게임,40
0,,,듬뿍,40
0,,,부,40
0,,,최애,40
0,,,로우,40
0,,,질,39
0,,,안녕,39
0,,,만족,39
0,,,시장,39
0,,,동생,39
0,,,마치,39
0,,,여행지,39
0,,,더위,39
0,,,외출,39
0,,,북,39
0,,,로부터,39
0,,,빨,39
0,,,라이프,39
0,,,덕,39
0,,,쿠션,39
0,,,추출,39
0,,,덕후,39
0,,,스마트,39
0,,,슈퍼,39
0,,,아메리카노,39
0,,,케이스,39
0,,,톤,39
0,,,작품,39
0,,,흡수,39
0,,,레스토랑,39
0,,,삼겹살,39
0,,,보호,39
0,,,소품,39
0,,,션,39
0,,,거의,39
0,,,정신,39
0,,,보이,39
0,,,주스,39
0,,,갑자기,39
0,,,삶,39
0,,,새,39
0,,,룸,38
0,,,아들,38
0,,,옥,38
0,,,반,38
0,,,인증샷,38
0,,,공부,38
0,,,베이비,38
0,,,배달,38
0,,,가을,38
0,,,소재,38
0,,,부터,38
0,,,광고,38
0,,,샌드위치,38
0,,,소식,38
0,,,음악,38
0,,,홈페이지,38
0,,,색,38
0,,,로션,38
0,,,치,38
0,,,문의,38
0,,,벚꽃,38
0,,,맑은,38
0,,,에너지,38
0,,,모,38
0,,,부모님,38
0,,,스테이크,38
0,,,토,38
0,,,리조트,37
0,,,베,37
0,,,럼,37
0,,,적,37
0,,,클럽,37
0,,,해변,37
0,,,쿠폰,37
0,,,키즈,37
0,,,작년,37
0,,,쇼핑몰,37
0,,,자체,37
0,,,간다,37
0,,,백화점,37
0,,,출근,37
0,,,월드,37
0,,,쓰기,37
0,,,감사,37
0,,,기록,37
0,,,일찍,37
0,,,파,37
0,,,조식,37
0,,,테라,37
0,,,에코,37
0,,,리얼,37
0,,,실제,37
0,,,코드,37
0,,,설치,37
0,,,튀김,37
0,,,부분,37
0,,,수영,37
0,,,모드,37
0,,,동네,37
0,,,상큼,37
0,,,레몬,37
0,,,지난,37
0,,,상태,37
0,,,서로,37
0,,,풍경,37
0,,,답,37
0,,,피자,37
0,,,두번째,36
0,,,뭔가,36
0,,,만난,36
0,,,해외,36
0,,,스틱,36
0,,,현실,36
0,,,자외선,36
0,,,잠,36
0,,,네이버,36
0,,,실화,36
0,,,떡,36
0,,,아스타,36
0,,,파크,36
0,,,필수품,36
0,,,어플,36
0,,,전문,36
0,,,축하,36
0,,,타,36
0,,,셀,36
0,,,하자,36
0,,,진심,36
0,,,어른,36
0,,,샴푸,36
0,,,올리브영,36
0,,,코덕,36
0,,,클렌,36
0,,,취미,36
0,,,구이,36
0,,,온라인,36
0,,,문제,36
0,,,리프,36
0,,,화장실,36
0,,,거품,36
0,,,기전,36
0,,,매트,36
0,,,소고기,36
0,,,감기,36
0,,,누가,36
0,,,양,36
0,,,별,36
0,,,샤워,36
0,,,반찬,36
0,,,설명,36
0,,,유럽,35
0,,,선착순,35
0,,,야경,35
0,,,타입,35
0,,,실,35
0,,,공항,35
0,,,마을,35
0,,,부산,35
0,,,일기,35
0,,,폼,35
0,,,싹,35
0,,,동시,35
0,,,포함,35
0,,,업,35
0,,,척,35
0,,,미백,35
0,,,유산균,35
0,,,닉,35
0,,,어깨,35
0,,,공연,35
0,,,짱,35
0,,,차단,35
0,,,금,35
0,,,스타벅스,35
0,,,키트,35
0,,,다이어터,35
0,,,시리즈,35
0,,,맞이,35
0,,,여러,35
0,,,테이블,35
0,,,식단,35
0,,,불금,35
0,,,건조,35
0,,,셀피,35
0,,,유튜브,35
0,,,요기,35
0,,,야채,35
0,,,원피스,35
0,,,전통,35
0,,,청,34
0,,,프로필,34
0,,,인천,34
0,,,가슴,34
0,,,스파,34
0,,,여행가,34
0,,,핸드폰,34
0,,,자마자,34
0,,,플레이,34
0,,,침대,34
0,,,불,34
0,,,업로드,34
0,,,끼리,34
0,,,심,34
0,,,신발,34
0,,,갈비,34
0,,,액,34
0,,,트러블,34
0,,,각질,34
0,,,도시,34
0,,,도시락,34
0,,,고,34
0,,,인터넷,34
0,,,적임,34
0,,,멀티,34
0,,,스페셜,34
0,,,연예인,34
0,,,순이,34
0,,,폰,34
0,,,저격,34
0,,,럽,34
0,,,돼지,34
0,,,토요일,34
0,,,병원,34
0,,,스토리,34
0,,,월,34
0,,,회사,34
0,,,다행,34
0,,,잠시,34
0,,,체력,34
0,,,복,34
0,,,표,34
0,,,서도,34
0,,,밖,34
0,,,포기,34
0,,,보관,34
0,,,겸,34
0,,,방지,34
0,,,미국,33
0,,,필터,33
0,,,주의,33
0,,,쥬,33
0,,,영어,33
0,,,나중,33
0,,,게시,33
0,,,망고,33
0,,,닥터,33
0,,,블로그,33
0,,,카카오,33
0,,,아이스,33
0,,,기존,33
0,,,난리,33
0,,,부부,33
0,,,핸드,33
0,,,마트,33
0,,,환경,33
0,,,찍,33
0,,,진행중,33
0,,,주름,33
0,,,패드,33
0,,,터치,33
0,,,최초,33
0,,,그릇,33
0,,,착,33
0,,,칼로리,33
0,,,과자,33
0,,,한정,33
0,,,햇빛,33
0,,,밀착,33
0,,,청정,33
0,,,강원도,33
0,,,하나로,33
0,,,집들이,33
0,,,천국,33
0,,,형,33
0,,,나무,33
0,,,탕,33
0,,,예전,33
0,,,핏,33
0,,,탑,33
0,,,금방,33
0,,,지인,33
0,,,레시피,33
0,,,떡볶이,33
0,,,변신,33
0,,,파우치,32
0,,,아트,32
0,,,노력,32
0,,,해시태그,32
0,,,교육,32
0,,,버터,32
0,,,전용,32
0,,,중독,32
0,,,꿀잠,32
0,,,거실,32
0,,,베스트,32
0,,,피크닉,32
0,,,체크,32
0,,,후회,32
0,,,수제,32
0,,,중간,32
0,,,첨가,32
0,,,야외,32
0,,,두피,32
0,,,탄력,32
0,,,산성,32
0,,,발라,32
0,,,닭,32
0,,,대한,32
0,,,클리,32
0,,,쇼,32
0,,,존맛,32
0,,,코디,32
0,,,예방,32
0,,,점점,32
0,,,뭘,32
0,,,섭취,32
0,,,양념,32
0,,,강아지,32
0,,,오빠,32
0,,,에어컨,32
0,,,쪽,32
0,,,온도,32
0,,,한장,32
0,,,딸,32
0,,,향기,32
0,,,식,32
0,,,해외여행,31
0,,,찍기,31
0,,,가요,31
0,,,사장,31
0,,,매번,31
0,,,운영,31
0,,,무려,31
0,,,가입,31
0,,,유아,31
0,,,클리어,31
0,,,포스팅,31
0,,,일이,31
0,,,코리아,31
0,,,남편,31
0,,,그동안,31
0,,,끝판,31
0,,,톤업,31
0,,,클렌징,31
0,,,테,31
0,,,뚝딱,31
0,,,고객,31
0,,,갑,31
0,,,톡,31
0,,,덜,31
0,,,칭찬,31
0,,,만큼,31
0,,,수다,31
0,,,꿀맛,31
0,,,지방,31
0,,,운,31
