,category,how_many_influencer,words,words_count
0,pet,100,,100
0,,,더,98
0,,,오늘,97
0,,,때,95
0,,,우리,94
0,,,나,92
0,,,집,92
0,,,사진,92
0,,,이,91
0,,,날,90
0,,,중,90
0,,,후,88
0,,,것,88
0,,,사람,88
0,,,눈,88
0,,,개,88
0,,,선물,88
0,,,생각,88
0,,,시간,87
0,,,꼭,87
0,,,요즘,87
0,,,내,86
0,,,수,86
0,,,또,86
0,,,사랑,86
0,,,요,85
0,,,저,85
0,,,하나,85
0,,,말,84
0,,,스타,84
0,,,그램,84
0,,,하루,83
0,,,물,83
0,,,비,83
0,,,해,83
0,,,엄마,82
0,,,얼굴,82
0,,,아이,82
0,,,정말,82
0,,,제,81
0,,,좀,81
0,,,분,81
0,,,시작,81
0,,,진짜,81
0,,,이제,81
0,,,지금,80
0,,,왜,80
0,,,거,80
0,,,보고,80
0,,,기분,80
0,,,다시,79
0,,,전,79
0,,,도,79
0,,,일,78
0,,,모두,78
0,,,바로,78
0,,,추천,78
0,,,앞,78
0,,,이번,78
0,,,여름,78
0,,,알,77
0,,,등,77
0,,,한번,77
0,,,그,77
0,,,아침,76
0,,,친구,76
0,,,손,76
0,,,강아지,76
0,,,가지,76
0,,,맛,76
0,,,정도,76
0,,,만,76
0,,,처음,76
0,,,곳,76
0,,,위,76
0,,,안,75
0,,,마음,75
0,,,위해,75
0,,,데,75
0,,,너,74
0,,,맘,74
0,,,번,73
0,,,뭐,73
0,,,살,73
0,,,줄,72
0,,,걱정,72
0,,,느낌,72
0,,,역시,71
0,,,때문,71
0,,,그냥,71
0,,,점,70
0,,,가족,70
0,,,시,70
0,,,간식,69
0,,,머리,69
0,,,준비,69
0,,,속,69
0,,,인스타,69
0,,,다른,69
0,,,로,69
0,,,이벤트,69
0,,,입,68
0,,,밤,68
0,,,끝,68
0,,,밥,68
0,,,최고,68
0,,,달,68
0,,,아주,68
0,,,온,68
0,,,제품,67
0,,,여기,67
0,,,주말,67
0,,,날씨,66
0,,,볼,66
0,,,차,66
0,,,내일,66
0,,,계속,66
0,,,용,66
0,,,조금,66
0,,,어제,65
0,,,마지막,65
0,,,구매,65
0,,,이상,65
0,,,어디,65
0,,,옷,65
0,,,제일,64
0,,,카페,64
0,,,여행,64
0,,,세상,64
0,,,모습,64
0,,,다음,64
0,,,몸,64
0,,,일상,64
0,,,오픈,63
0,,,가장,63
0,,,서울,63
0,,,사용,63
0,,,이름,62
0,,,걸,62
0,,,영상,62
0,,,를,62
0,,,듯,62
0,,,애,62
0,,,직접,62
0,,,피부,62
0,,,관리,62
0,,,동안,62
0,,,혼자,61
0,,,꽃,61
0,,,다리,61
0,,,글,61
0,,,완전,61
0,,,고민,61
0,,,매일,61
0,,,배,60
0,,,필수,60
0,,,둘,60
0,,,모든,60
0,,,발,60
0,,,자연,60
0,,,방,60
0,,,확인,60
0,,,소리,59
0,,,뒤,59
0,,,의,59
0,,,크림,59
0,,,첫,59
0,,,할인,59
0,,,티,59
0,,,못,58
0,,,봄,58
0,,,벌써,58
0,,,옆,57
0,,,은,57
0,,,예정,57
0,,,게,57
0,,,바,57
0,,,템,57
0,,,언제,57
0,,,맛집,57
0,,,사이즈,57
0,,,건강,57
0,,,진행,57
0,,,코,57
0,,,건,56
0,,,아기,56
0,,,새,56
0,,,곧,56
0,,,펫,56
0,,,인,56
0,,,방법,56
0,,,주,56
0,,,움,55
0,,,주문,55
0,,,사실,55
0,,,참여,55
0,,,키,55
0,,,이유,55
0,,,기,55
0,,,여자,55
0,,,인생,55
0,,,힐링,55
0,,,도움,55
0,,,완료,55
0,,,저녁,54
0,,,덕분,54
0,,,함,54
0,,,댕댕,54
0,,,디자인,54
0,,,늘,54
0,,,케어,54
0,,,자주,54
0,,,바람,54
0,,,보기,54
0,,,방문,54
0,,,산,54
0,,,향,54
0,,,산책,54
0,,,가격,54
0,,,난,53
0,,,관심,53
0,,,리,53
0,,,포,53
0,,,미세먼지,53
0,,,힘,53
0,,,무,53
0,,,고양이,52
0,,,및,52
0,,,추가,52
0,,,단,52
0,,,마,52
0,,,일리,52
0,,,이야기,52
0,,,병원,51
0,,,오,51
0,,,촬영,51
0,,,털,51
0,,,냄새,51
0,,,풀,51
0,,,항상,51
0,,,문제,51
0,,,박스,51
0,,,피,51
0,,,컬러,51
0,,,소개,51
0,,,효과,51
0,,,핫,51
0,,,가능,50
0,,,사이,50
0,,,얼마,50
0,,,길,50
0,,,달라,50
0,,,신경,50
0,,,반려견,50
0,,,멍,50
0,,,선,50
0,,,통,50
0,,,고생,50
0,,,자기,49
0,,,중이,49
0,,,감사,49
0,,,아빠,49
0,,,미니,49
0,,,쉬,49
0,,,라면,49
0,,,점점,49
0,,,브랜드,49
0,,,스타일,49
0,,,애견,49
0,,,끼,49
0,,,커피,49
0,,,잠,48
0,,,더욱,48
0,,,무엇,48
0,,,사료,48
0,,,한국,48
0,,,검색,48
0,,,휴가,48
0,,,감,48
0,,,후기,48
0,,,자극,48
