,category,how_many_influencer,words,words_count
0,moms,100,집,100
0,,,오늘,100
0,,,더,100
0,,,,100
0,,,아이,99
0,,,때,99
0,,,우리,99
0,,,나,99
0,,,여름,97
0,,,또,97
0,,,시간,97
0,,,요즘,97
0,,,그램,96
0,,,거,96
0,,,꼭,96
0,,,내,96
0,,,날,96
0,,,사진,96
0,,,스타,95
0,,,육아,95
0,,,엄마,95
0,,,선물,95
0,,,하루,95
0,,,중,95
0,,,준비,95
0,,,맘,94
0,,,이번,94
0,,,이,94
0,,,후,94
0,,,하나,94
0,,,도,94
0,,,친구,94
0,,,일상,94
0,,,수,93
0,,,곳,93
0,,,가족,93
0,,,시작,93
0,,,지금,93
0,,,걱정,93
0,,,전,93
0,,,사랑,93
0,,,추천,92
0,,,맛,92
0,,,주말,92
0,,,바로,92
0,,,것,92
0,,,생각,92
0,,,역시,92
0,,,위해,92
0,,,아침,92
0,,,느낌,92
0,,,보고,91
0,,,여행,91
0,,,한번,91
0,,,제,91
0,,,위,91
0,,,눈,91
0,,,사용,90
0,,,기분,90
0,,,개,90
0,,,템,90
0,,,물,90
0,,,요,90
0,,,손,90
0,,,최고,90
0,,,이제,90
0,,,사람,89
0,,,진짜,89
0,,,비,89
0,,,분,89
0,,,번,89
0,,,만,89
0,,,해,89
0,,,아기,88
0,,,맛집,88
0,,,용,88
0,,,날씨,88
0,,,말,88
0,,,등,88
0,,,마음,88
0,,,일,88
0,,,가지,87
0,,,처음,87
0,,,이벤트,87
0,,,로,87
0,,,알,87
0,,,제품,87
0,,,데,87
0,,,점,86
0,,,피부,86
0,,,살,86
0,,,카페,86
0,,,아빠,86
0,,,옷,86
0,,,언제,86
0,,,정말,86
0,,,앞,85
0,,,모두,85
0,,,밤,85
0,,,밥,85
0,,,크림,85
0,,,좀,85
0,,,줄,84
0,,,필수,84
0,,,끝,84
0,,,속,84
0,,,자연,83
0,,,때문,83
0,,,키즈,83
0,,,활동,83
0,,,매일,83
0,,,관리,83
0,,,소통,83
0,,,안,83
0,,,뭐,83
0,,,직접,83
0,,,저,83
0,,,다시,83
0,,,몸,83
0,,,애,83
0,,,너,83
0,,,완전,82
0,,,디자인,82
0,,,차,82
0,,,구매,82
0,,,하니,82
0,,,인스타,82
0,,,휴가,82
0,,,향,82
0,,,인,82
0,,,단,82
0,,,가격,82
0,,,여자,82
0,,,달,81
0,,,정도,81
0,,,참여,81
0,,,를,81
0,,,아스타,81
0,,,얼굴,81
0,,,주문,81
0,,,볼,81
0,,,저녁,81
0,,,음식,81
0,,,어디,81
0,,,감,81
0,,,유아,80
0,,,간식,80
0,,,그,80
0,,,어린이,80
0,,,방법,80
0,,,할인,80
